Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
22125 Huesca;Grado de ocupación por plazas;2021M03;""
22125 Huesca;Grado de ocupación por plazas;2021M02;""
22125 Huesca;Grado de ocupación por plazas;2021M01;""
22125 Huesca;Grado de ocupación por plazas;2020M12;""
22125 Huesca;Grado de ocupación por plazas;2020M11;""
22125 Huesca;Grado de ocupación por plazas;2020M10;""
22125 Huesca;Grado de ocupación por plazas;2020M09;""
22125 Huesca;Grado de ocupación por plazas;2020M08;""
22125 Huesca;Grado de ocupación por plazas;2020M07;""
22125 Huesca;Grado de ocupación por plazas;2020M06;""
22125 Huesca;Grado de ocupación por plazas;2020M05;""
22125 Huesca;Grado de ocupación por plazas;2020M04;""
22125 Huesca;Grado de ocupación por plazas;2020M03;""
22125 Huesca;Grado de ocupación por plazas;2020M02;""
22125 Huesca;Grado de ocupación por plazas;2020M01;""
22125 Huesca;Grado de ocupación por plazas;2019M12;""
22125 Huesca;Grado de ocupación por plazas;2019M11;""
22125 Huesca;Grado de ocupación por plazas;2019M10;""
22125 Huesca;Grado de ocupación por plazas;2019M09;""
22125 Huesca;Grado de ocupación por plazas;2019M08;""
22125 Huesca;Grado de ocupación por plazas;2019M07;""
22125 Huesca;Grado de ocupación por plazas;2019M06;""
22125 Huesca;Grado de ocupación por plazas;2019M05;""
22125 Huesca;Grado de ocupación por plazas;2019M04;""
22125 Huesca;Grado de ocupación por plazas;2019M03;""
22125 Huesca;Grado de ocupación por plazas;2019M02;""
22125 Huesca;Grado de ocupación por plazas;2019M01;""
22125 Huesca;Grado de ocupación por plazas;2018M12;""
22125 Huesca;Grado de ocupación por plazas;2018M11;""
22125 Huesca;Grado de ocupación por plazas;2018M10;""
22125 Huesca;Grado de ocupación por plazas;2018M09;""
22125 Huesca;Grado de ocupación por plazas;2018M08;""
22125 Huesca;Grado de ocupación por plazas;2018M07;""
22125 Huesca;Grado de ocupación por plazas;2018M06;""
22125 Huesca;Grado de ocupación por plazas;2018M05;""
22125 Huesca;Grado de ocupación por plazas;2018M04;""
22125 Huesca;Grado de ocupación por plazas;2018M03;""
22125 Huesca;Grado de ocupación por plazas;2018M02;""
22125 Huesca;Grado de ocupación por plazas;2018M01;""
22130 Jaca;Grado de ocupación por plazas;2026M02;63,70
22130 Jaca;Grado de ocupación por plazas;2026M01;50,32
22130 Jaca;Grado de ocupación por plazas;2025M12;38,73
22130 Jaca;Grado de ocupación por plazas;2025M11;36,26
22130 Jaca;Grado de ocupación por plazas;2025M10;50,03
22130 Jaca;Grado de ocupación por plazas;2025M09;56,70
22130 Jaca;Grado de ocupación por plazas;2025M08;70,63
22130 Jaca;Grado de ocupación por plazas;2025M07;63,38
22130 Jaca;Grado de ocupación por plazas;2025M06;53,98
22130 Jaca;Grado de ocupación por plazas;2025M05;48,28
22130 Jaca;Grado de ocupación por plazas;2025M04;40,78
22130 Jaca;Grado de ocupación por plazas;2025M03;41,99
22130 Jaca;Grado de ocupación por plazas;2025M02;64,79
22130 Jaca;Grado de ocupación por plazas;2025M01;46,14
22130 Jaca;Grado de ocupación por plazas;2024M12;32,81
22130 Jaca;Grado de ocupación por plazas;2024M11;33,98
22130 Jaca;Grado de ocupación por plazas;2024M10;42,07
22130 Jaca;Grado de ocupación por plazas;2024M09;57,86
22130 Jaca;Grado de ocupación por plazas;2024M08;74,90
22130 Jaca;Grado de ocupación por plazas;2024M07;59,70
22130 Jaca;Grado de ocupación por plazas;2024M06;54,17
22130 Jaca;Grado de ocupación por plazas;2024M05;43,36
22130 Jaca;Grado de ocupación por plazas;2024M04;38,04
22130 Jaca;Grado de ocupación por plazas;2024M03;57,23
22130 Jaca;Grado de ocupación por plazas;2024M02;57,50
22130 Jaca;Grado de ocupación por plazas;2024M01;52,42
22130 Jaca;Grado de ocupación por plazas;2023M12;32,67
22130 Jaca;Grado de ocupación por plazas;2023M11;.
22130 Jaca;Grado de ocupación por plazas;2023M10;48,88
22130 Jaca;Grado de ocupación por plazas;2023M09;51,93
22130 Jaca;Grado de ocupación por plazas;2023M08;67,58
22130 Jaca;Grado de ocupación por plazas;2023M07;55,24
22130 Jaca;Grado de ocupación por plazas;2023M06;51,93
22130 Jaca;Grado de ocupación por plazas;2023M05;38,18
22130 Jaca;Grado de ocupación por plazas;2023M04;46,02
22130 Jaca;Grado de ocupación por plazas;2023M03;52,84
22130 Jaca;Grado de ocupación por plazas;2023M02;69,70
22130 Jaca;Grado de ocupación por plazas;2023M01;52,71
22130 Jaca;Grado de ocupación por plazas;2022M12;39,96
22130 Jaca;Grado de ocupación por plazas;2022M11;.
22130 Jaca;Grado de ocupación por plazas;2022M10;.
22130 Jaca;Grado de ocupación por plazas;2022M09;56,62
22130 Jaca;Grado de ocupación por plazas;2022M08;71,17
22130 Jaca;Grado de ocupación por plazas;2022M07;60,29
22130 Jaca;Grado de ocupación por plazas;2022M06;50,69
22130 Jaca;Grado de ocupación por plazas;2022M05;41,31
22130 Jaca;Grado de ocupación por plazas;2022M04;50,11
22130 Jaca;Grado de ocupación por plazas;2022M03;45,02
22130 Jaca;Grado de ocupación por plazas;2022M02;64,38
22130 Jaca;Grado de ocupación por plazas;2022M01;52,26
22130 Jaca;Grado de ocupación por plazas;2021M12;43,82
22130 Jaca;Grado de ocupación por plazas;2021M11;.
22130 Jaca;Grado de ocupación por plazas;2021M10;51,80
22130 Jaca;Grado de ocupación por plazas;2021M09;56,68
22130 Jaca;Grado de ocupación por plazas;2021M08;79,17
22130 Jaca;Grado de ocupación por plazas;2021M07;61,79
22130 Jaca;Grado de ocupación por plazas;2021M06;38,51
22130 Jaca;Grado de ocupación por plazas;2021M05;.
22130 Jaca;Grado de ocupación por plazas;2021M04;25,21
22130 Jaca;Grado de ocupación por plazas;2021M03;.
22130 Jaca;Grado de ocupación por plazas;2021M02;.
22130 Jaca;Grado de ocupación por plazas;2021M01;.
