estacion,anio,mes,comunidad,orientacion,altitud_base_m,altitud_cima_m,desnivel_m,umbria,dias_abierta,dias_totales,pct_dias_abierta,km_abiertos_med,pct_remontes_med,pct_pistas_med,pct_km_med,espesor_max_med,espesor_min_med,dias_nieve_polvo,dias_nieve_dura,dias_nieve_artificial,dias_nieve_pisada,dias_nieve_primavera,dias_finde,dias_festivo,dias_semana_navidad,dias_semana_santa,dias_temporada_esqui,temp_max_med,temp_min_med,temp_media_med,precipitacion_total,nieve_total_cm,viento_max_med,zona_hotelera,ocupacion_general_pct,ocupacion_finde_pct
Alto Campoo,2023,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2023,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2023,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2023,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2023,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2023,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2023,11,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2023,12,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2024,1,Cantabria,N,1530,2175,645,1,7,31,0.22580645161290322,9.047142857142857,0.27777777777777773,0.4161490683229814,0.29779930405341853,37.857142857142854,20.0,3,0,0,0,0,8,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2024,2,Cantabria,N,1530,2175,645,1,2,29,0.06896551724137931,8.11,0.14999999999999997,0.2826086956521739,0.2669519420671494,30.0,20.0,2,0,0,0,0,8,1,0,0,29,,,,0.0,0.0,,,,
Alto Campoo,2024,3,Cantabria,N,1530,2175,645,1,20,31,0.6451612903225806,12.527,0.5291666666666667,0.48478260869565215,0.4123436471362739,53.0,35.0,12,7,0,0,8,10,2,0,2,31,,,,0.0,0.0,,,,
Alto Campoo,2024,4,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2024,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2024,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,10,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2024,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2024,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2024,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2024,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2024,11,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2024,12,Cantabria,N,1530,2175,645,1,19,31,0.6129032258064516,13.274736842105263,0.44298245614035087,0.528604118993135,0.43695644641557807,36.45,18.75,7,5,0,0,5,9,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2025,1,Cantabria,N,1530,2175,645,1,19,31,0.6129032258064516,4.751578947368421,0.2894736842105263,0.20823798627002285,0.15640483697723565,27.61904761904762,15.952380952380953,2,9,0,0,2,8,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2025,2,Cantabria,N,1530,2175,645,1,27,28,0.9642857142857143,13.044074074074073,0.4876543209876543,0.4975845410628019,0.4293638602394363,39.44444444444444,21.296296296296298,6,7,0,0,13,8,1,0,0,28,,,,0.0,0.0,,,,
Alto Campoo,2025,3,Cantabria,N,1530,2175,645,1,17,31,0.5483870967741935,5.522941176470589,0.2892156862745098,0.2301790281329923,0.18179529876466713,32.529411764705884,15.882352941176471,6,4,0,0,8,10,0,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2025,4,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,3,0,2,30,,,,0.0,0.0,,,,
Alto Campoo,2025,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2025,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2025,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2025,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2025,9,Cantabria,N,1530,2175,645,1,0,8,0.0,,,,,,,0,0,0,0,0,2,0,0,0,0,,,,0.0,0.0,,,,
Astún,2018,1,Aragón,N,1700,2300,600,1,29,29,1.0,37.672413793103445,0.9310344827586207,0.7833333333333333,0.753448275862069,150.86206896551724,115.0,20,13,0,0,2,7,1,1,0,29,4.413793103448276,-1.2689655172413792,1.5999999999999999,124.2,48.300000000000004,14.486206896551725,Jaca,59.25,66.0
Astún,2018,2,Aragón,N,1700,2300,600,1,25,26,0.9615384615384616,41.36,0.9226666666666666,0.8673333333333333,0.8271999999999999,213.46153846153845,129.6153846153846,22,13,0,0,0,7,1,0,0,26,1.1153846153846154,-5.553846153846154,-2.1384615384615384,142.2,83.50999999999999,16.96923076923077,Jaca,61.04,79.99
Astún,2018,3,Aragón,N,1700,2300,600,1,28,29,0.9655172413793104,41.875,0.9261904761904762,0.8744047619047618,0.8375,244.31034482758622,143.6206896551724,24,11,0,0,1,8,1,0,1,29,2.693103448275862,-2.6241379310344826,0.08275862068965519,308.8,135.24,16.02758620689655,Jaca,56.59,68.01
